Size,BHK,Bathroom,City,FurnishingStatus,AreaType,Rent
1100,2,2,Kolkata,Unfurnished,Super Area,10000
800,2,1,Kolkata,Semi-Furnished,Super Area,20000
1000,2,1,Kolkata,Semi-Furnished,Super Area,17000
800,2,1,Kolkata,Unfurnished,Super Area,10000
850,2,1,Kolkata,Unfurnished,Carpet Area,7500
600,2,2,Kolkata,Unfurnished,Super Area,7000
700,2,2,Kolkata,Unfurnished,Super Area,10000
250,1,1,Kolkata,Unfurnished,Super Area,5000
800,2,2,Kolkata,Unfurnished,Carpet Area,26000
1000,2,2,Kolkata,Semi-Furnished,Carpet Area,10000
1200,3,2,Kolkata,Semi-Furnished,Carpet Area,25000
400,1,1,Kolkata,Unfurnished,Carpet Area,5000
250,1,1,Kolkata,Furnished,Carpet Area,6500
375,1,1,Kolkata,Unfurnished,Carpet Area,5500
900,3,2,Kolkata,Unfurnished,Carpet Area,8500
1286,3,2,Kolkata,Furnished,Carpet Area,40000
600,2,1,Kolkata,Semi-Furnished,Super Area,6000
800,2,1,Kolkata,Unfurnished,Super Area,10000
2000,2,1,Kolkata,Unfurnished,Carpet Area,11000
660,2,1,Kolkata,Unfurnished,Super Area,6000
650,2,1,Kolkata,Unfurnished,Carpet Area,7900
400,2,2,Kolkata,Unfurnished,Carpet Area,9000
300,1,1,Kolkata,Unfurnished,Carpet Area,4000
1600,3,1,Kolkata,Unfurnished,Super Area,6500
400,1,1,Kolkata,Semi-Furnished,Super Area,8000
1000,2,1,Kolkata,Unfurnished,Super Area,7000
355,1,1,Kolkata,Semi-Furnished,Carpet Area,5300
1000,2,1,Kolkata,Semi-Furnished,Super Area,6000
800,2,1,Kolkata,Unfurnished,Super Area,8500
850,2,2,Kolkata,Unfurnished,Super Area,12500
350,1,1,Kolkata,Unfurnished,Carpet Area,7500
900,2,2,Kolkata,Unfurnished,Carpet Area,15000
550,2,1,Kolkata,Semi-Furnished,Super Area,6000
500,2,2,Kolkata,Unfurnished,Carpet Area,5000
1100,3,1,Kolkata,Unfurnished,Carpet Area,22000
850,2,1,Kolkata,Semi-Furnished,Carpet Area,15000
800,2,1,Kolkata,Unfurnished,Carpet Area,12500
630,2,1,Kolkata,Unfurnished,Carpet Area,7000
900,2,2,Kolkata,Semi-Furnished,Carpet Area,21000
270,1,1,Kolkata,Semi-Furnished,Carpet Area,10000
